gene_id,log2.fc
MGG_07573,2.7401059618459525
MGG_02444,3.235094688462458
MGG_09164,0.25176281413130375
MGG_00458,1.5715446687194863
MGG_03937,3.082519499786988
MGG_01550,3.4086843975313834
MGG_03714,1.387564568818981
MGG_04818,0.6970526555492119
MGG_08526,1.6006702335691316
MGG_08304,1.76395584362945
MGG_12005,3.056491407624918
MGG_05057,2.024413196740603
MGG_04550,3.44750491629924
MGG_07666,1.430638170319909
MGG_04478,-1.210807273082923
MGG_09470,2.7123729984630183
MGG_03244,2.0353769734214806
MGG_06933,0.2973911901503403
MGG_11513,2.1515108811673467
MGG_03806,1.9639405420029485
MGG_12886,1.7487089443957031
MGG_07456,3.2607539742526876
MGG_04021,3.166746793108257
MGG_08731,2.373484701137247
MGG_08758,-0.5039505762596953
MGG_00149,3.018362853785772
MGG_01350,2.0921280263634863
MGG_00654,3.2962973522259857
MGG_07478,3.494494038453809
MGG_08853,3.402388883517107
MGG_12773,1.6675376381928055
MGG_03791,1.8798714046032965
MGG_02833,2.8997143205488136
MGG_15668,0.8264210144827929
MGG_13279,2.127335770387903
MGG_04165,1.6561397351799676
MGG_11454,3.346578877454904
MGG_08869,2.0247731646509775
MGG_11599,2.8275002294703993
MGG_11475,3.246158354565739
MGG_13655,2.8731074802777385
MGG_14872,3.5702626924367165
MGG_16213,-0.6063542482690342
MGG_09471,2.1669155955942445
MGG_12128,2.8572178744038244
MGG_17721,2.9652321484204
MGG_07037,2.8264369232488455
MGG_16201,-0.404489679296673
MGG_05643,1.0994578788634868
MGG_05176,3.384997281430407
MGG_04549,3.0417275216057775
MGG_08154,1.7461286019892568
MGG_07181,1.7292427734127755
MGG_06475,0.2817517175857546
MGG_14292,2.6385166661086434
MGG_04943,3.29542651983962
MGG_09642,1.439754754948197
MGG_12839,2.29840968174929
MGG_16202,0.9303221265018555
MGG_05299,2.352988685883972
MGG_00667,2.292883300257348
MGG_01045,3.288719035116636
MGG_00140,2.0538251052382615
MGG_09640,2.225428912907311
MGG_06211,-0.03525421895661892
MGG_01463,3.3945909417136075
MGG_05188,0.48974087083339474
MGG_01072,3.520844580520596
MGG_11408,1.276690662404644
MGG_06649,2.4449096325706385
MGG_07066,0.021674547142187334
MGG_00994,3.2019350760002543
MGG_15810,3.1252979052150485
MGG_04890,2.7259264665598932
MGG_12595,0.8975919897229713
MGG_08299,2.6934054254490114
MGG_05082,1.3846918098952008
MGG_13224,2.817377483546979
MGG_06368,-2.522906553105001
MGG_01607,2.2387026850145673
MGG_03218,2.1640819150667983
MGG_06847,2.8380010517462333
MGG_03287,2.692355435083819
MGG_00084,1.9797682601828013
MGG_02487,1.8785696978612165
MGG_11167,2.4455134299401005
MGG_06604,2.80222654466794
MGG_03065,0.6242937238787089
MGG_01863,3.3317094057417687
MGG_12442,1.8566306876702208
MGG_06180,2.194607246705382
MGG_00993,2.823675710911793
MGG_01044,3.3545102732473024
MGG_07971,3.547141683882858
MGG_04140,-0.7613106244384346
MGG_06335,3.3883153518242097
